INFO 10/22/2024 11:12:12 AM | Server initialized
INFO 10/22/2024 11:12:12 AM | Server started on 192.168.0.51:44200
INFO 10/22/2024 11:13:30 AM | Client ('192.168.0.51', 49057) connected.
INFO 10/22/2024 11:13:50 AM | Client ('192.168.0.51', 49057) disconnected and cleaned up.
INFO 10/22/2024 11:30:29 AM | Client ('192.168.0.51', 49563) connected.
INFO 10/22/2024 11:30:36 AM | Client ('192.168.0.51', 49563) disconnected and cleaned up.
INFO 10/22/2024 11:30:49 AM | Client ('192.168.0.51', 49576) connected.
INFO 10/22/2024 11:30:51 AM | Client ('192.168.0.51', 49576) disconnected and cleaned up.
INFO 10/22/2024 11:36:24 AM | Client ('192.168.0.51', 49762) connected.
INFO 10/22/2024 11:36:31 AM | Client ('192.168.0.51', 49762) disconnected and cleaned up.
INFO 10/22/2024 11:36:53 AM | Client ('192.168.0.51', 49787) connected.
INFO 10/22/2024 11:36:54 AM | Client ('192.168.0.51', 49787) disconnected and cleaned up.
INFO 10/22/2024 11:38:55 AM | Client ('192.168.0.51', 49847) connected.
INFO 10/22/2024 11:38:56 AM | Client ('192.168.0.51', 49847) disconnected and cleaned up.
INFO 10/22/2024 11:41:29 AM | Client ('192.168.0.51', 49921) connected.
INFO 10/22/2024 11:41:31 AM | Client ('192.168.0.51', 49921) disconnected and cleaned up.
INFO 10/22/2024 11:42:20 AM | Client ('192.168.0.51', 49950) connected.
INFO 10/22/2024 11:42:36 AM | Client ('192.168.0.51', 49950) disconnected and cleaned up.
INFO 10/22/2024 11:45:10 AM | Client ('192.168.0.51', 50101) connected.
INFO 10/22/2024 11:45:13 AM | Client ('192.168.0.51', 50101) disconnected and cleaned up.
INFO 10/22/2024 11:53:04 AM | Client ('192.168.0.51', 50316) connected.
INFO 10/22/2024 11:53:04 AM | Client ('192.168.0.51', 50316) disconnected and cleaned up.
INFO 10/22/2024 11:53:21 AM | Client ('192.168.0.51', 50330) connected.
INFO 10/22/2024 11:53:26 AM | Client ('192.168.0.51', 50330) disconnected and cleaned up.
INFO 10/22/2024 11:54:28 AM | Client ('192.168.0.51', 50374) connected.
INFO 10/22/2024 11:54:28 AM | Client ('192.168.0.51', 50374) disconnected and cleaned up.
INFO 10/22/2024 11:54:41 AM | Client ('192.168.0.51', 50382) connected.
INFO 10/22/2024 11:54:43 AM | Client ('192.168.0.51', 50382) disconnected and cleaned up.
INFO 10/22/2024 11:56:36 AM | Client ('192.168.0.51', 50439) connected.
INFO 10/22/2024 11:56:40 AM | Client ('192.168.0.51', 50439) disconnected and cleaned up.
INFO 10/22/2024 11:57:05 AM | Client ('192.168.0.51', 50456) connected.
INFO 10/22/2024 11:57:15 AM | Client ('192.168.0.51', 50456) disconnected and cleaned up.
INFO 10/22/2024 11:58:08 AM | Client ('192.168.0.51', 50501) connected.
INFO 10/22/2024 11:58:09 AM | Client ('192.168.0.51', 50501) disconnected and cleaned up.
INFO 10/22/2024 11:58:40 AM | Client ('192.168.0.51', 50517) connected.
INFO 10/22/2024 11:58:41 AM | Client ('192.168.0.51', 50517) disconnected and cleaned up.
INFO 10/22/2024 12:01:00 PM | Server initialized
INFO 10/22/2024 12:01:03 PM | Server initialized
INFO 10/22/2024 12:09:45 PM | Client ('192.168.0.51', 50888) connected.
INFO 10/22/2024 12:09:46 PM | Client ('192.168.0.51', 50888) disconnected and cleaned up.
INFO 10/22/2024 12:11:16 PM | Client ('192.168.0.51', 50939) connected.
INFO 10/22/2024 12:11:20 PM | Client ('192.168.0.51', 50939) disconnected and cleaned up.
INFO 10/22/2024 12:13:26 PM | Client ('192.168.0.51', 51003) connected.
INFO 10/22/2024 12:13:29 PM | Client ('192.168.0.51', 51003) disconnected and cleaned up.
INFO 10/22/2024 12:13:34 PM | Client ('192.168.0.51', 51010) connected.
INFO 10/22/2024 12:13:39 PM | Client ('192.168.0.51', 51010) disconnected and cleaned up.
INFO 10/22/2024 12:13:41 PM | Client ('192.168.0.51', 51016) connected.
INFO 10/22/2024 12:13:47 PM | Client ('192.168.0.51', 51016) disconnected and cleaned up.
INFO 10/22/2024 12:14:11 PM | Client ('192.168.0.51', 51035) connected.
INFO 10/22/2024 12:14:15 PM | Client ('192.168.0.51', 51035) disconnected and cleaned up.
INFO 10/22/2024 12:16:13 PM | Client ('192.168.0.51', 51087) connected.
